Text,Year,Month,Date,Ticker,Quarter
"First off, could you just talk about, when I think about the September quarter guide, it's implied, I think, up 16% or so sequentially. Historically, at least in that guide has been in the 10% low doubledigit kind of range. Just maybe help us understand what gives you the confidence for a betterthanseasonal guide in September either from a geo or product basis would be helpful.",2019,Jul,30,AAPL,Q3
"Amit, it's Luca. Of course, this is our best estimate of where we think we will land. Clearly, we expect to have continued strong growth from the noniPhone categories. We have great momentum in Wearables. We mentioned that we were up almost 50% in the June quarter or actually over 50% in the June quarter. Our Services business, we set an alltime record in June. And so these 2 categories have become really important and really large for us. And so as we continue to grow quickly, that is going to help us as we go through the year. Keep in mind that the guidance includes an estimated almost $1 billion of foreign exchange headwind for the quarter.",2019,Jul,30,AAPL,Q3
"Fair enough. That's really helpful. And I guess if I just follow up on China, impressed to see the continued recovery you guys are seeing despite all the headlines that are out there. Just curious what are the few things that are driving the success in China? And how sustainable do you think those changes are for Apple as you go forward?",2019,Jul,30,AAPL,Q3
"Yes, Amit. It's Tim. I apologize for my voice. I'm suffering from an allergy. But what happened last quarter in China was  it's a confluence of things. The government stimulus just came in terms of a VAT reduction, a very bold one. We took some pricing action. We instituted our tradein and financing programs in our retail stores and worked with certain channel partners on that as well. And we're seeing a growing engagement with the broader Apple ecosystem during the quarter.
And so when you look at it, each of our categories, iPhone, iPad, Mac, Wearables, Services, everything improved sequentially. So we couldn't be happier with the results or the progress, I should say. I would point out, as I think I had mentioned in my comments, that we actually grew in constant currency for Greater China, and we grew in Mainland China on a reported basis. So there's several things going on there that are quite positive.",2019,Jul,30,AAPL,Q3
"Can you talk a bit about what's going on within Services, some of the puts and takes? I know Luca, you gave us some color in terms of the growth rates in that. But I'm just curious as  and I know you won't talk about future products, but as you think about the opportunities, you think about what you've got now and in the future and then some of the  what's been going on with China in that, is there something that could reaccelerate or again the 18% on a constant currency basis is obviously quite strong. But how are you thinking about it?",2019,Jul,30,AAPL,Q3
"Yes. I think it's important to start with that 18% in constant currencies, Shannon. Our reported results are on a normalized basis, removing the onetime item from last year, was 15%. Clearly, FX plays a role around the world, 300 basis points of FX impact during the June quarter. In spite of that, it was an alltime record revenue. Our installed base continues to grow. It's growing in every geography and it's growing across all our major product categories, and that is very, very important for the Services  for the Services business. 
I would say  I'll give you a bit more color around 2 offsetting factors around this performance during the June quarter. On one side, the App Store, I mentioned in my prepared remarks that growth accelerated sequentially. We had doubledigit growth on the App Store in every geography. In China, we saw significant acceleration. As you know, we tend to monetize in China on the App Store through game titles, and the government has approved a few key game titles during the quarter that has helped our performance there. 
On the other side, AppleCare. I mentioned AppleCare was an alltime record in June so a really strong performance. But our growth has decelerated in AppleCare due to factors that we fully expected because we are comping this expansion of our coverage for AppleCare that we've had, we've had significant success during the last 18 to 24 months in really broadening our coverage of AppleCare around the world with some key partners, carriers and resellers. And obviously, as we go through the year, those comps become a bit more difficult. 
Having said all that, you know that we've given ourselves a couple of targets and we feel very confident about reaching those targets. The first one is that we wanted to double the size of the Services business from our fiscal '16 to 2020. We are on our way there. Paid subscriptions is another target. It's important to us. It's an important way for us to monetize our ecosystem. We set a target of surpassing 0.5 billion paid subscriptions on the ecosystem during 2020. We're already at 420 million now. So we feel confident there. 
And of course, as you mentioned, we're very excited about the fact that we're going to be launching new services soon. As Tim said, we're starting the rollout of Apple Card in August. And there's 2 more very important services that we're going to be adding to our portfolio during the fall. One is Apple Arcade, which is our gaming subscription service, and of course, Apple TV+, which is our video streaming service. So obviously, these services will help us carry on with the momentum that we have in Services.",2019,Jul,30,AAPL,Q3
"Great. And this is probably for you too as well, Luca. Can you talk about gross margin? The guidance was pretty solid. Obviously, there are various things that are at play here. I know you mentioned the $1 billion worth of top line impact, I think, from currency next quarter. But maybe if you can kind of talk about what went into your gross margin guidance?",2019,Jul,30,AAPL,Q3
"Yes. So of course, Shannon, as you've seen, our guidance for margin is 50 basis points higher than the guidance that we had given for June. I would say on the positive, we expect to benefit from leverage, as you've seen from our revenue guidance, and from cost savings because, as you know, the commodity environment is fairly favorable right now. On the negative side, the headwind on gross margins on a yearoveryear basis from foreign exchange is about 100 basis points. And so we need to keep that in mind, but we feel pretty good about the guidance we provided.",2019,Jul,30,AAPL,Q3
"I'd like to go back to the discussion around strength in China in the quarter and understand what linearity looked like. I asked because there was some industry data around the smartphone market in China that seemed to deteriorate in the month of June, the App Store data deteriorated a little bit in June. And just curious if that's something you saw in the business, and if it at all informs your outlook around the pace of the China business as you go into September.",2019,Jul,30,AAPL,Q3
"Katy, it's Tim. We obviously took into account all of the information that we had and coming out with the guidance, including linearity across last quarter and how this quarter has started. And so we've obviously looked at that in quite much detail.",2019,Jul,30,AAPL,Q3
"And then just on the App Store, appreciate there's not a lot of detail out around exact timing and even some pricing of the new services. But how should we think about the new services that launched in March impacting the overall Services growth? Does that start to benefit the model in the back half of this calendar year? Or will the impact be more longer term in nature and really show up in 2020?",2019,Jul,30,AAPL,Q3
"Katy, let me just talk about the new services that we've announced in March and then also about the timing of how we get to revenue, right? We've announced Apple News+, and this is the service that is available for consumers right now. We've announced our channel service, which has also become available a few weeks ago. The other 3 services, the Card is launching in August, the gaming service and the video service are starting in the fall. Keep in mind for all these services, there's a trial period upfront. There's going to be different trial periods, we'll see what they look like. So the road to monetization takes some time. Obviously, all of them will add to our base and will help us with growth rates as we get into next year.",2019,Jul,30,AAPL,Q3
"It's Tim. In retail, it was quite successful. We got going in a larger way during that quarter. We were pretty much just ramping in the previous quarter. And tradein, as a percentage of their total sales, is significant and financing is a key element of it. Those 2 things in the aggregate led retail  the combination of retail and online, we  to short form that as retail, are Apple Store, led to growth in June. And so we feel very, very good about our trajectory. We are obviously taking those programs and advocating those more widely. And that is at different levels of implementation throughout different geographies because we're working with our carrier partners on those and retail partners.",2019,Jul,30,AAPL,Q3
